Feature,Mean,Median,Standard Deviation
mean,-0.0766668914383901,-0.07408499477453276,0.06569290243929732
std_dev,0.3368547928552964,0.31867133085433075,0.13093405023722604
rms,0.350294481812763,0.3328770223658868,0.1345411801673776
max_psd,0.0030739455707867974,0.00167186067116315,0.004011790129315171
mean_psd,0.00011287169246927163,5.3812620915517724e-05,0.00014889532239670557
