SVM,Random Forest,Logistic Regression
0.8204334365325078,0.9587203302373581,0.8297213622291022
"{'0': {'precision': 0.8279914529914529, 'recall': 0.983502538071066, 'f1-score': 0.8990719257540603, 'support': 788}, '1': {'precision': 0.6060606060606061, 'recall': 0.11049723756906077, 'f1-score': 0.18691588785046725, 'support': 181}, 'accuracy': 0.8204334365325078, 'macro avg': {'precision': 0.7170260295260296, 'recall': 0.5469998878200634, 'f1-score': 0.5429939068022638, 'support': 969}, 'weighted avg': {'precision': 0.7865368778681472, 'recall': 0.8204334365325078, 'f1-score': 0.7660479393138638, 'support': 969}}","{'0': {'precision': 0.9734177215189873, 'recall': 0.9758883248730964, 'f1-score': 0.9746514575411913, 'support': 788}, '1': {'precision': 0.8938547486033519, 'recall': 0.8839779005524862, 'f1-score': 0.8888888888888888, 'support': 181}, 'accuracy': 0.9587203302373581, 'macro avg': {'precision': 0.9336362350611696, 'recall': 0.9299331127127912, 'f1-score': 0.9317701732150401, 'support': 969}, 'weighted avg': {'precision': 0.9585561135749935, 'recall': 0.9587203302373581, 'f1-score': 0.958631823974559, 'support': 969}}","{'0': {'precision': 0.8496071829405163, 'recall': 0.9606598984771574, 'f1-score': 0.9017272185824896, 'support': 788}, '1': {'precision': 0.6025641025641025, 'recall': 0.2596685082872928, 'f1-score': 0.36293436293436293, 'support': 181}, 'accuracy': 0.8297213622291022, 'macro avg': {'precision': 0.7260856427523095, 'recall': 0.6101642033822251, 'f1-score': 0.6323307907584262, 'support': 969}, 'weighted avg': {'precision': 0.8034618810332604, 'recall': 0.8297213622291022, 'f1-score': 0.8010858286213843, 'support': 969}}"
"[[775  13]
 [161  20]]","[[769  19]
 [ 21 160]]","[[757  31]
 [134  47]]"
